text,cefrlevel
"ANNA: Þarftu að vinna kvöldvakt í dag, Ewa? EWA: Já, ég þarf að vinna kvöldvakt í dag og á morgun. ANNA: Ætlarðu í sund eftir vinnu? EWA: Já, ég ætla í sund. Ég þarf líka að versla. ",A1
"EWA: Hvenær er kaffitími? ANNA: Það er kaffitími klukkan hálf ellefu til ellefu og matartími klukkan korter yfir tólf. Klukkan er hálf ellefu núna. Komum í kaffi! EWA: Já, ég er að koma. ",A1
"ANNA: Viltu kaffi? EWA: Já, takk! ANNA: Viltu mjólk og sykur? EWA: Smá mjólk en ekki sykur. ANNA: Sjáðu, hérna uppi í hillu til hægri er kex. Viltu kex? EWA: Nei, takk. Ég borða ekki kex. ",A1
"EWA: Hver er þetta? ANNA: Þetta er bróðir minn. Hann á heima í Rússlandi. Og þetta er systir mín, hún á heima á Íslandi. EWA: Er þetta dóttir þín? ANNA: Já. Þetta er dóttir mín og þetta er sonur minn. Þau heita Linda og Ari. Og þetta er maðurinn minn. ",A1
"DANIEL: Halló? EWA: Hæ Daniel, þetta er Ewa. DANIEL: Hæ Ewa! EWA: Viltu koma í bíó í kvöld? DANIEL: Já! Klukkan hvað byrjar myndin? EWA: Klukkan átta. DANIEL: Já. Sjáumst klukkan átta. ",A1
"EWA: Ég þarf að fara á bókasafn á morgun. Viltu koma með? DANIEL: Já, ég ætla líka í sund á morgun. Viltu koma með í sund fyrst? EWA: Já. Ég á heima við hliðina á sundlaug. Komdu klukkan 10 á morgun! ",A1
"DANIEL: Fyrirgefðu. Geturðu sagt mér hvar sundlaugin er? KONA: Já, þú ferð beint áfram, framhjá bensínstöð. Sundlaugin er við hliðina á banka. DANIEL: Takk fyrir! KONA: Allt í lagi. ",A1
"AFGREIÐSLU­KONA: Get ég aðstoðað? DANIEL: Já, við ætlum að fara í sund. AFGREIÐSLU­KONA: Já. Það eru 720 krónur. Gjörið svo vel. DANIEL: Er sundlaugin úti eða inni? AFGREIÐSLU­KONA: Sundlaugin er úti. ",A1
DANIEL: Geturðu sagt mér hvar klósettið er? STARFSKONA: Það er klósett niðri í karlaklefa og það er líka klósett úti. DANIEL: Þakka þér fyrir. ,A1
"ANNA: Grund, góðan dag. EWA: Halló. Þetta er Ewa, ég er veik í dag. ANNA: Æ, hvað er að? EWA: Ég er með höfuðverk, hita og hósta. ANNA: Þú ert kannski með flensu. EWA: Já, ég held það. ",A1
"ANNA: Ewa, þú þarft að fara til læknis og þú þarft að koma með vottorð. EWA: Ég skil ekki, hvað er vottorð? ANNA: Vottorð er bréf frá lækni. EWA: Já. Allt í lagi. ANNA: Þú þarft að panta tíma á heilsugæslustöð. EWA: Já, ég ætla að gera það. ANNA: Gangi þér vel. EWA: Já, takk fyrir. Bless. ",A1
"KONA: Heilsugæslustöð, góðan dag. EWA: Góðan dag. Ég ætla að panta tíma hjá lækni. KONA: Ég á tíma á miðvikudag klukkan tvö. EWA: Áttu tíma í dag? Ég er mjög veik. KONA: Já, ég á tíma klukkan fjögur í dag. EWA: Klukkan fjögur í dag er mjög gott. ",A1
"DANIEL: Ewa, hvar á stóllinn að vera? EWA: Stóllinn á að vera inni í stofu. DANIEL: En hvar á hillan að vera? EWA: Hillan á að vera inni í baðherbergi. DANIEL: En tölvan? EWA: Tölvan á að vera inni í stofu, borðið á að vera inni í eldhúsi og rúmið á að vera inni í svefnherbergi. ",A1
6. febrúar er 37. dagur ársins samkvæmt gregoríska tímatalinu. 328 dagar (329 á hlaupári) eru eftir af árinu. ,A1
Austar er íslenskt karlmannsnafn. Tveir íslenskir karlmenn heita þessu nafni en báðir eru frá Höfn í Hornafirði. Þeir eiga báðir heima á Grettisgötu 55 og eru báðir á lausu :) ,A1
"Nói albinói er íslensk bíómynd. Leikstjórinn heitir Dagur Kári Pétursson og hann skrifar líka handritið. Þessi mynd er vinsæl bæði á Íslandi og erlendis. Hún gerist á Íslandi. Dagur Kári er hæfileikaríkur leikstjóri og það verður spennandi að fylgjast með honum í framtíðinni. Myndin gerist um vetur í smábæ úti á landi. Nói albinói er ungur strákur í menntaskóla. Hann býr hjá ömmu sinni. Pabbi Nóa býr einn, hann er þunglyndur og drekkur mikið. Nói er sérstök persóna, hann er gáfaður en hann er ekki duglegur í skóla. Hann er oft einn og hann er ekki félagslyndur. En ung stúlka, Íris, flytur í bæinn. Hún er úr Reykjavík. Nói kynnist henni og þau verða vinir. Persóna Nóa í myndinni er skýr. Áhorfandinn hefur samúð með Nóa. Líf hans er erfitt. Samband Nóa og pabba hans er ekki gott. Leikurinn í myndinni er góður. Aðalhlutverk leika Tómas Lemarquis, Elín Hansdóttir, Þröstur Leó Gunnarsson og Anna Friðriksdóttir. ",A2
"Upplýsingar um sundlaugina í Laugardal: Laugardalslaug, Sundlaugavegur 30, 105 Reykjavík. Sími: 411 5100. Opnunartími: Virka daga (mánudagar þriðjudagar, miðvikudagar, fimmtudagar, föstudagar) klukkan 06:30 til 22:00. Um helgar (laugardagar og sunnudagar) klukkan 08:00 til 22:00. Verð: Fullorðnir (18 ára og eldri): 1 miði = 950 kr.  10 miðar = 4400 kr. Börn (6-17 ára): 1 miði = 150 kr.  10 miðar = 970 kr. ",A2
"Sæl og blessuð! Þakka ykkur fyrir síðast. Kóramótið á Spáni var mjög skemmtilegt og gaman að vinna 1. verðlaun! Ég sendi þetta bréf til ykkar og líka til Xaviers sem er núna á Íslandi. Hann ætlar að vera með okkur í kórnum. Ég vona að þú skiljir þetta bréf, Xavier. Vala Helgadóttir er að leita að góðum söngvurum til að syngja með henni á næsta geisladiski. Hún vill fá OKKUR til að syngja! Geisladiskar Völu eru allir stórkostlegir og þessi diskur verður örugglega frábær líka! Hvað segið þið? Þetta er stórt tækifæri fyrir kórinn. Tónlist Völu er bæði skemmtileg og vel samin og svo er frábært að fá að syngja með heimsfrægum listamönnum. Það koma stórkostlegir tónlistarmenn bæði frá Evrópu og Ameríku til að spila með henni og svo erum við með Xavier frá Frakklandi. Þetta verða mjög alþjóðlegar æfingar! Kóræfingarnar verða á Skógum og við verðum þar að æfa í viku. Næstu vikur þar á eftir notum við svo í upptökur Hvað finnst ykkur? Svarið sem fyrst, þá sendi ég ykkur nákvæmar upplýsingar um það hvernig þið eigið að undirbúa ykkur. Við ætlum að ganga á Fimmvörðuháls eftir æfingarnar. Kær kveðja, María Helgadóttir, kórstjóri Cantorum. ",A2
